año,eleccion_tipo,padron_tipo,distrito_nombre,cargo_nombre,agrupacion_nombre,votos_cantidad,fuerza
2011,PASO,NORMAL,Jujuy,Diputado Nacional,ALIANZA UNION PARA EL DESARROLLO SOCIAL,24904,OTROS
2011,PASO,NORMAL,Jujuy,Presidente,ALIANZA FRENTE PARA LA VICTORIA,67368,PERON
2011,PASO,NORMAL,Jujuy,Presidente,ALIANZA UNION PARA EL DESARROLLO SOCIAL - UDESO,23902,UCR
2011,PASO,NORMAL,Jujuy,Presidente,ALIANZA FRENTE AMPLIO PROGRESISTA,6958,SOCIALISTA
2011,PASO,NORMAL,La Pampa,Diputado Nacional,ALIANZA COMPROMISO FEDERAL,10991,PROVINCIAL
2011,PASO,NORMAL,La Pampa,Diputado Nacional,HUMANISTA,48351,OTROS
2011,PASO,NORMAL,La Pampa,Diputado Nacional,"FRENTE PAMPEANO, CIVICO Y SOCIAL (FREPAM)",31409,SOCIALISTA
2011,PASO,NORMAL,La Pampa,Presidente,ALIANZA FRENTE PARA LA VICTORIA,54096,PERON
2011,PASO,NORMAL,La Pampa,Presidente,ALIANZA UNION PARA EL DESARROLLO SOCIAL - UDESO,18718,UCR
2011,PASO,NORMAL,La Pampa,Presidente,ALIANZA COMPROMISO FEDERAL,13770,PROVINCIAL
2011,PASO,NORMAL,La Rioja,Diputado Nacional,UNION CIVICA RADICAL,16958,UCR
2011,PASO,NORMAL,La Rioja,Diputado Nacional,FRENTE PARA LA VICTORIA RIOJANA,31331,PERON
2011,PASO,NORMAL,La Rioja,Diputado Nacional,FRENTE POPULAR RIOJANO,24168,OTROS
2011,PASO,NORMAL,La Rioja,Presidente,ALIANZA FRENTE PARA LA VICTORIA,40014,PERON
2011,PASO,NORMAL,La Rioja,Presidente,ALIANZA UNION PARA EL DESARROLLO SOCIAL - UDESO,14606,UCR
2011,PASO,NORMAL,La Rioja,Presidente,ALIANZA COMPROMISO FEDERAL,16410,PROVINCIAL
2011,PASO,NORMAL,Mendoza,Diputado Nacional,ALIANZA FRENTE PARA LA VICTORIA,142273,PERON
2011,PASO,NORMAL,Mendoza,Diputado Nacional,ALIANZA COMPROMISO FEDERAL,56215,PROVINCIAL
2011,PASO,NORMAL,Mendoza,Diputado Nacional,FRENTE CIVICO FEDERAL -UDESO MENDOZA,54731,OTROS
2011,PASO,NORMAL,Mendoza,Presidente,ALIANZA FRENTE PARA LA VICTORIA,189510,PERON
2011,PASO,NORMAL,Mendoza,Presidente,ALIANZA UNION PARA EL DESARROLLO SOCIAL - UDESO,50853,UCR
2011,PASO,NORMAL,Mendoza,Presidente,ALIANZA COMPROMISO FEDERAL,83735,PROVINCIAL
2011,PASO,NORMAL,Misiones,Diputado Nacional,ALIANZA FRENTE PARA LA VICTORIA,45980,PERON
2011,PASO,NORMAL,Misiones,Diputado Nacional,UNION CIVICA RADICAL,46293,UCR
2011,PASO,NORMAL,Misiones,Diputado Nacional,FRENTE RENOVADOR DE LA CONCORDIA,139524,PROVINCIAL
2011,PASO,NORMAL,Misiones,Presidente,ALIANZA FRENTE PARA LA VICTORIA,211343,PERON
2011,PASO,NORMAL,Misiones,Presidente,ALIANZA FRENTE POPULAR,37154,OTROS
2011,PASO,NORMAL,Misiones,Presidente,ALIANZA UNION PARA EL DESARROLLO SOCIAL - UDESO,47685,UCR
2011,PASO,NORMAL,Neuquén,Diputado Nacional,ALIANZA FRENTE PARA LA VICTORIA,80189,PERON
2011,PASO,NORMAL,Neuquén,Diputado Nacional,UNION CIVICA RADICAL,18146,UCR
2011,PASO,NORMAL,Neuquén,Diputado Nacional,MOVIMIENTO POPULAR NEUQUINO,37498,PROVINCIAL
2011,PASO,NORMAL,Neuquén,Presidente,ALIANZA FRENTE PARA LA VICTORIA,114585,PERON
2011,PASO,NORMAL,Neuquén,Presidente,ALIANZA UNION PARA EL DESARROLLO SOCIAL - UDESO,23285,UCR
2011,PASO,NORMAL,Neuquén,Presidente,ALIANZA FRENTE AMPLIO PROGRESISTA,21058,SOCIALISTA
2011,PASO,NORMAL,Río Negro,Diputado Nacional,ALIANZA FRENTE PARA LA VICTORIA,105273,PERON
2011,PASO,NORMAL,Río Negro,Diputado Nacional,UNION CIVICA RADICAL,28027,UCR
2011,PASO,NORMAL,Río Negro,Diputado Nacional,SOCIALISTA,11390,SOCIALISTA
2011,PASO,NORMAL,Río Negro,Presidente,ALIANZA FRENTE PARA LA VICTORIA,133661,PERON
2011,PASO,NORMAL,Río Negro,Presidente,ALIANZA FRENTE POPULAR,15897,OTROS
2011,PASO,NORMAL,Río Negro,Presidente,ALIANZA UNION PARA EL DESARROLLO SOCIAL - UDESO,30473,UCR
2011,PASO,NORMAL,Salta,Diputado Nacional,ALIANZA FRENTE PARA LA VICTORIA,25234,PERON
2011,PASO,NORMAL,Salta,Diputado Nacional,ALIANZA UNION PARA EL DESARROLLO SOCIAL,8346,OTROS
2011,PASO,NORMAL,Salta,Diputado Nacional,FRENTE SALTEÑO,4916,OTROS
2011,PASO,NORMAL,Salta,Presidente,ALIANZA FRENTE PARA LA VICTORIA,54121,PERON
2011,PASO,NORMAL,Salta,Presidente,ALIANZA FRENTE POPULAR,7642,OTROS
2011,PASO,NORMAL,Salta,Presidente,ALIANZA UNION PARA EL DESARROLLO SOCIAL - UDESO,12851,UCR
2011,PASO,NORMAL,San Juan,Diputado Nacional,ALIANZA FRENTE PARA LA VICTORIA,48873,PERON
2011,PASO,NORMAL,San Juan,Diputado Nacional,UNION CIVICA RADICAL,6731,UCR
